====================================================
LEVEL.CASINO SEO + PLATFORM UPDATES AUDIT
DATE: Mon Aug 10 06:14:24 CAT 2026
====================================================

=== ROUTES ===
worker/routes.js:31:    // LISTING PAGES
static/js/admin.js:1060:    form.querySelector("[name='seo_title']").value = page.seo_title || "";
static/js/admin.js:1061:    form.querySelector("[name='seo_description']").value = page.seo_description || "";
static/js/admin.js:1098:    form.querySelector("[name='seo_title']").value = c.seo_title || "";
static/js/admin.js:1099:    form.querySelector("[name='seo_description']").value = c.seo_description || "";
static/js/admin.js:1129:    form.querySelector("[name='seo_title']").value = c.seo_title || "";
static/js/admin.js:1130:    form.querySelector("[name='seo_description']").value = c.seo_description || "";
static/js/casino-admin.js:38:    const fields = ["name", "slug", "logo", "website_url", "affiliate_url", "rating", "bonus_title", "bonus_value", "seo_title", "seo_description", "featured", "sort_order", "status"];
static/js/casino-admin.js:148:      seo_title: formData.get("seo_title") || null,
static/js/casino-admin.js:149:      seo_description: formData.get("seo_description") || null,
static/js/component-admin.js:310:            <td>${s.robots || "index, follow"}</td>
static/js/component-admin.js:340:      canonical: formData.get("canonical") || null,
static/js/component-admin.js:341:      og_image: formData.get("og_image") || null,
static/js/component-admin.js:342:      robots: formData.get("robots") || "index, follow",
static/js/component-admin.js:343:      schema_json: formData.get("schema_json") || null,
static/js/component-admin.js:458:    form.querySelector("[name='canonical']").value = s.canonical || "";
static/js/component-admin.js:459:    form.querySelector("[name='og_image']").value = s.og_image || "";
static/js/component-admin.js:460:    form.querySelector("[name='robots']").value = s.robots || "index, follow";
static/js/component-admin.js:461:    form.querySelector("[name='schema_json']").value = s.schema_json || "";
static/js/author-admin.js:71:      seo_title: formData.get("seo_title") || null,
static/js/author-admin.js:72:      seo_description: formData.get("seo_description") || null,
static/js/author-admin.js:127:    form.querySelector("[name='seo_title']").value = a.seo_title || "";
static/js/author-admin.js:128:    form.querySelector("[name='seo_description']").value = a.seo_description || "";

=== PLATFORM UPDATES SEARCH ===

=== PLATFORM UPDATES GENERAL SEARCH ===
